OP029_HDDS,OP012_monthly_food_expenditure,OP011_accessibility_tier,OP016_budget_share_pct,OP016_budget_share_tier,OP025_neighborhood_safety_index,OP025_neighborhood_safety_tier,OP033_diet_quality_tier,OP004_cleanliness,OP005_neighborhood_safety,OP006_reputation,OP007_infrastructure,OP008_marketing_regulation,OP009_travel_time,OP017_cooking_source,OP018_water_source,OP019_water_distance,OP003_price_motive,OP010_shopping_frequency,OP013_expenditure_time_unit,OP015_affordability_motive,OP021_health_motive,OP022_trust_motive,OP023_food_env_perception,OP028_frequency_variation
6.0,3000000.0,Close,20.0,Low,1.6666666666666667,High,Adequate,2.0,2.0,1.0,,,5.0,electricity,yes,,0,46.0,day,0,0,0,1.0,11.621818561080133
4.0,5000000.0,Close,16.39344262295082,Low,2.0,High,Adequate,2.0,2.0,2.0,,,3.0,electricity,yes,,0,20.0,month,0,0,0,2.0,3.9327683210007
4.0,8000000.0,,40.0,High,2.0,High,Adequate,2.0,2.0,2.0,,,,electricity,yes,,0,8.0,month,0,0,0,2.0,3.265986323710904
6.0,12000000.0,Close,39.34426229508197,High,1.3333333333333333,Low,Adequate,1.0,2.0,1.0,0.0,,5.0,electricity,yes,1.0,0,43.0,day,0,0,0,2.0,11.600287352762718
8.0,3000000.0,Close,,,0.6666666666666666,Low,Diverse,2.0,-2.0,2.0,,,5.0,gas,yes,,0,34.0,day,0,0,0,2.0,12.027745701779144
0.0,,,,,,,Poor,,,,,,,,,,0,0.0,,0,0,0,,0.0
5.0,15000000.0,,20.0,Low,2.0,High,Adequate,2.0,2.0,2.0,,,,electricity,yes,,0,0.0,month,0,0,0,2.0,0.0
4.0,10000000.0,Close,13.333333333333334,Low,2.0,High,Adequate,2.0,2.0,2.0,,,5.0,electricity,yes,,0,24.0,month,0,0,0,2.0,4.381780460041329
7.0,,,,,2.0,High,Diverse,2.0,2.0,2.0,-1.0,,,gas,yes,-1.0,0,2.0,,0,0,0,2.0,0.816496580927726
7.0,2100000.0,Far,525.0,High,0.0,Low,Diverse,-2.0,2.0,0.0,-1.0,,15.0,gas,yes,-1.0,0,30.0,day,0,0,0,2.0,12.24744871391589
9.0,3000000.0,Far,50.0,High,2.0,High,Diverse,2.0,2.0,2.0,,,10.0,gas,yes,,0,65.0,day,0,0,0,2.0,14.918668394554071
0.0,,,,,2.0,High,Poor,2.0,2.0,2.0,,,,,,,0,0.0,,0,0,0,2.0,0.0
3.0,6000000.0,Close,30.0,Medium,2.0,High,Poor,2.0,2.0,2.0,1.0,,2.0,gas,yes,1.0,0,60.0,day,0,0,0,2.0,15.491933384829668
0.0,,,,,,,Poor,,,,,,,,,,0,0.0,,0,0,0,,0.0
9.0,1500000.0,Close,11.538461538461538,Low,2.0,High,Diverse,2.0,2.0,2.0,0.0,,3.0,electricity,yes,0.0,0,40.0,day,0,0,0,2.0,16.329931618554518
9.0,7500000.0,Close,68.18181818181817,High,1.6666666666666667,High,Diverse,2.0,2.0,1.0,,,5.0,electricity,yes,,0,20.0,day,0,0,0,1.0,3.9327683210007
0.0,,,,,,,Poor,,,,,,,,,,0,0.0,,0,0,0,,0.0
0.0,,,,,,,Poor,,,,,,,,,,0,0.0,,0,0,0,,0.0
10.0,,Close,,,2.0,High,Diverse,2.0,2.0,2.0,,,3.0,gas,yes,,0,104.0,day,0,0,0,2.0,17.918333255821164
10.0,,,,,2.0,High,Diverse,2.0,2.0,2.0,,,,gas,yes,,0,0.0,,0,0,0,2.0,0.0
9.0,150000000.0,Close,750.0,High,2.0,High,Diverse,2.0,2.0,2.0,,,5.0,electricity,yes,,0,93.0,day,0,0,1,2.0,15.883954167649817
0.0,,,,,,,Poor,,,,,,,,,,0,0.0,,0,0,0,,0.0
0.0,,,,,,,Poor,,,,,,,,,,0,0.0,,0,0,0,,0.0
0.0,,,,,,,Poor,,,,,,,,,,0,0.0,,0,0,0,,0.0
6.0,3000000.0,Far,3.0,Low,1.0,Low,Adequate,2.0,1.0,0.0,-1.0,,10.0,electricity,yes,-1.0,0,30.0,day,0,0,0,1.0,12.24744871391589
4.0,120000000.0,Close,600.0,High,2.0,High,Adequate,2.0,2.0,2.0,1.0,,3.0,electricity,yes,-1.0,0,8.0,day,0,0,0,2.0,2.0655911179772892
3.0,3000000.0,,27.27272727272727,Medium,2.0,High,Poor,2.0,2.0,2.0,-1.0,,,electricity,yes,-1.0,0,8.0,day,0,0,0,2.0,3.265986323710904
4.0,3600000.0,,18.0,Low,0.6666666666666666,Low,Adequate,2.0,2.0,-2.0,-1.0,,,electricity,yes,-1.0,0,16.0,day,0,0,0,2.0,4.1311822359545785
3.0,4500000.0,,14.754098360655735,Low,2.0,High,Poor,2.0,2.0,2.0,,,,electricity,yes,,0,2.0,day,0,0,0,,0.816496580927726
0.0,,,,,,,Poor,,,,,,,,,,0,0.0,,0,0,0,,0.0
0.0,,,,,,,Poor,,,,,,,,,,0,0.0,,0,0,0,,0.0
0.0,,,,,,,Poor,,,,,,,,,,0,0.0,,0,0,0,,0.0
0.0,,,,,,,Poor,,,,,,,,,,0,0.0,,0,0,0,,0.0
4.0,,,,,2.0,High,Adequate,2.0,2.0,2.0,,,,electricity,yes,,0,0.0,,0,0,0,2.0,0.0
0.0,,,,,,,Poor,,,,,,,,,,0,0.0,,0,0,0,,0.0
10.0,9000000.0,Close,12.0,Low,1.3333333333333333,Low,Diverse,1.0,2.0,1.0,1.0,,5.0,electricity,yes,-1.0,0,38.0,day,0,0,0,1.0,11.673331429659088
0.0,,,,,,,Poor,,,,,,,,,,0,0.0,,0,0,0,,0.0
0.0,,,,,,,Poor,,,,,,,,,,0,0.0,,0,0,0,,0.0
0.0,,,,,,,Poor,,,,,,,,,,0,0.0,,0,0,0,,0.0
0.0,,,,,,,Poor,,,,,,,,,,0,0.0,,0,0,0,,0.0
6.0,6000000.0,Close,30.0,Medium,1.6666666666666667,High,Adequate,2.0,2.0,1.0,1.0,,5.0,electricity,yes,1.0,0,42.0,month,0,0,0,2.0,11.64474130240771
0.0,,,,,,,Poor,,,,,,,,,,0,0.0,,0,0,0,,0.0
4.0,,,,,2.0,High,Adequate,2.0,2.0,2.0,0.0,,,electricity,yes,-1.0,0,0.0,,0,0,0,2.0,0.0
5.0,6000000.0,Close,25.0,Medium,2.0,High,Adequate,2.0,2.0,2.0,1.0,,5.0,electricity,yes,0.0,0,20.0,day,0,0,0,2.0,3.9327683210007
10.0,9000000.0,Close,12.0,Low,1.3333333333333333,Low,Diverse,1.0,1.0,2.0,1.0,,2.0,gas,yes,-1.0,0,48.0,day,0,1,0,2.0,11.099549540409289
2.0,10000000.0,Close,41.66666666666667,High,2.0,High,Poor,2.0,2.0,2.0,,,5.0,gas,yes,,0,4.0,month,0,0,1,2.0,1.632993161855452
0.0,,,,,,,Poor,,,,,,,,,,0,0.0,,0,0,0,,0.0
2.0,5000000.0,Close,45.45454545454545,High,2.0,High,Poor,2.0,2.0,2.0,,,5.0,electricity,yes,,0,8.0,month,0,0,0,2.0,3.265986323710904
0.0,,,,,,,Poor,,,,,,,,,,0,0.0,,0,0,0,,0.0
0.0,,,,,,,Poor,,,,,,,,,,0,0.0,,0,0,0,,0.0
7.0,3000000.0,Close,50.0,High,1.6666666666666667,High,Diverse,1.0,2.0,2.0,1.0,,2.0,electricity,yes,1.0,0,43.0,day,0,0,0,2.0,11.600287352762718
6.0,15000000.0,Close,75.0,High,1.3333333333333333,Low,Adequate,2.0,1.0,1.0,0.0,,5.0,electricity,yes,-1.0,0,46.0,day,0,1,0,2.0,11.343133018115704
0.0,,,,,,,Poor,,,,,,,,,,0,0.0,,0,0,0,,0.0
0.0,,Close,,,1.0,Low,Poor,0.0,2.0,1.0,-1.0,,5.0,electricity,yes,-1.0,0,30.0,,0,0,0,2.0,12.24744871391589
0.0,,,,,,,Poor,,,,,,,,,,0,0.0,,0,0,0,,0.0
9.0,6000000.0,Close,,,,,Diverse,,,,-1.0,,5.0,gas,yes,-1.0,0,40.0,day,0,1,0,,11.843422928641308
9.0,4500000.0,Close,52.94117647058824,High,1.6666666666666667,High,Diverse,1.0,2.0,2.0,,,5.0,gas,yes,,0,60.0,day,0,0,0,2.0,15.491933384829668
9.0,4500000.0,,,,1.6666666666666667,High,Diverse,2.0,2.0,1.0,-1.0,,,electricity,yes,-1.0,0,16.0,day,0,0,0,2.0,4.1311822359545785
12.0,9000000.0,Close,12.0,Low,1.3333333333333333,Low,Diverse,1.0,2.0,1.0,-1.0,,3.0,electricity,yes,-1.0,0,16.0,day,0,0,0,,4.1311822359545785
6.0,6000000.0,Far,35.294117647058826,Medium,2.0,High,Adequate,2.0,2.0,2.0,-1.0,,10.0,electricity,yes,0.0,0,29.0,day,0,0,0,2.0,3.710345895825168
4.0,4500000.0,,6.0,Low,2.0,High,Adequate,2.0,2.0,2.0,,,,electricity,yes,,0,0.0,day,0,0,0,2.0,0.0
5.0,3000000.0,,,,2.0,High,Adequate,2.0,2.0,2.0,-1.0,,,gas,yes,-1.0,0,0.0,day,0,0,0,2.0,0.0
4.0,4500000.0,Close,52.94117647058824,High,2.0,High,Adequate,2.0,2.0,2.0,-1.0,,5.0,electricity,yes,-1.0,0,8.0,day,0,0,0,2.0,3.265986323710904
6.0,12000000.0,Far,16.0,Low,2.0,High,Adequate,2.0,2.0,2.0,,,15.0,electricity,yes,,1,12.0,day,1,0,0,2.0,3.3466401061363023
3.0,3000000.0,,17.647058823529413,Low,1.6666666666666667,High,Poor,1.0,2.0,2.0,,,,electricity,yes,,0,0.0,day,0,0,0,2.0,0.0
6.0,6000000.0,Close,8.0,Low,1.3333333333333333,Low,Adequate,1.0,1.0,2.0,-1.0,,5.0,electricity,yes,-1.0,0,40.0,day,0,0,0,1.0,11.843422928641308
8.0,6000000.0,Close,19.672131147540984,Low,1.6666666666666667,High,Diverse,2.0,1.0,2.0,-1.0,,5.0,electricity,yes,-1.0,0,43.0,day,0,0,1,2.0,11.600287352762718
7.0,1500000.0,Close,35.294117647058826,Medium,2.0,High,Diverse,2.0,2.0,2.0,1.0,,3.0,electricity,yes,1.0,0,8.0,day,0,0,0,2.0,3.265986323710904
6.0,7500000.0,Close,31.25,Medium,1.3333333333333333,Low,Adequate,1.0,2.0,1.0,-1.0,,2.0,electricity,yes,-1.0,0,46.0,day,0,0,0,2.0,11.272385136547928
8.0,3000000.0,Close,15.0,Low,1.6666666666666667,High,Diverse,2.0,1.0,2.0,-1.0,,3.0,electricity,yes,-1.0,0,40.0,day,0,0,0,2.0,11.843422928641308
0.0,,,,,,,Poor,,,,,,,,,,0,0.0,,0,0,0,,0.0
0.0,,,,,,,Poor,,,,,,,,,,0,0.0,,0,0,0,,0.0
0.0,,,,,,,Poor,,,,,,,,,,0,0.0,,0,0,0,,0.0
5.0,7500000.0,Close,24.59016393442623,Medium,2.0,High,Adequate,2.0,2.0,2.0,,,5.0,electricity,yes,,0,32.0,day,0,0,0,2.0,12.110601416389969
0.0,,,,,2.0,High,Poor,2.0,2.0,2.0,,,,gas,yes,,0,0.0,,0,0,0,2.0,0.0
5.0,10000000.0,Close,58.82352941176471,High,1.0,Low,Adequate,-1.0,2.0,2.0,-1.0,,5.0,electricity,yes,-1.0,1,76.0,month,1,0,0,2.0,13.894843168120564
5.0,3000000.0,Close,35.294117647058826,Medium,2.0,High,Adequate,2.0,2.0,2.0,1.0,,0.0,electricity,yes,1.0,0,8.0,month,0,0,0,2.0,2.0655911179772892
10.0,7500000.0,,7.5,Low,1.6666666666666667,High,Diverse,1.0,2.0,2.0,1.0,,,electricity,yes,0.0,0,4.0,month,0,0,0,2.0,1.632993161855452
6.0,9000000.0,Close,12.0,Low,1.6666666666666667,High,Adequate,2.0,1.0,2.0,1.0,,5.0,electricity,yes,-1.0,0,30.0,month,0,0,0,2.0,3.521363372331802
5.0,10000000.0,Close,32.78688524590164,Medium,1.0,Low,Adequate,0.0,1.0,2.0,,,5.0,electricity,yes,,0,49.0,month,0,0,0,2.0,15.904925861715505
9.0,6500000.0,Far,27.083333333333332,Medium,2.0,High,Diverse,2.0,2.0,2.0,1.0,,7.0,electricity,yes,1.0,0,20.0,month,0,0,0,2.0,3.011090610836324
1.0,,,,,-2.0,Low,Poor,-2.0,-2.0,-2.0,,,,charcoal,no,,0,45.0,,0,0,0,-2.0,15.94678651014053
5.0,7000000.0,Close,9.333333333333334,Low,2.0,High,Adequate,2.0,2.0,2.0,1.0,,2.0,electricity,yes,-1.0,0,38.0,month,0,0,0,2.0,11.758684733704984
4.0,5000000.0,Close,16.39344262295082,Low,2.0,High,Adequate,2.0,2.0,2.0,0.0,,5.0,electricity,yes,-1.0,1,16.0,month,1,0,0,2.0,3.265986323710904
6.0,5000000.0,Close,29.411764705882355,Medium,1.0,Low,Adequate,1.0,1.0,1.0,1.0,,5.0,electricity,yes,1.0,0,1.0,month,0,0,0,1.0,0.408248290463863
9.0,9.0,Close,5.294117647058824e-05,Low,1.6666666666666667,High,Diverse,2.0,2.0,1.0,,,5.0,gas,yes,,0,70.0,month,0,0,0,1.0,14.500574701254662
8.0,2000000.0,Far,18.181818181818183,Low,2.0,High,Diverse,2.0,2.0,2.0,,,10.0,electricity,yes,,0,31.0,month,0,0,0,2.0,12.17237309100681
7.0,,,,,1.6666666666666667,High,Diverse,2.0,2.0,1.0,,,,electricity,yes,,0,30.0,,0,0,0,2.0,12.24744871391589
3.0,15000000.0,Far,100.0,High,1.0,Low,Poor,1.0,1.0,1.0,1.0,,10.0,electricity,yes,-1.0,0,64.0,month,0,0,0,2.0,15.05545305418162
8.0,3000000.0,Close,,,1.6666666666666667,High,Diverse,1.0,2.0,2.0,1.0,,5.0,electricity,yes,-1.0,0,32.0,month,0,0,0,1.0,12.110601416389969
6.0,,,,,2.0,High,Adequate,2.0,2.0,2.0,1.0,,,electricity,yes,-1.0,0,9.0,,0,0,0,2.0,3.2093613071762426
9.0,6000000.0,,19.672131147540984,Low,2.0,High,Diverse,2.0,2.0,2.0,1.0,,,electricity,yes,-1.0,0,8.0,week,0,0,0,2.0,3.265986323710904
9.0,9000000.0,Close,29.50819672131147,Medium,1.0,Low,Diverse,1.0,1.0,1.0,0.0,,2.0,electricity,yes,-1.0,0,38.0,day,0,0,0,2.0,11.690451944500122
8.0,4000000.0,Close,20.0,Low,0.3333333333333333,Low,Diverse,1.0,0.0,0.0,1.0,,5.0,gas,yes,-1.0,0,18.0,week,0,0,0,1.0,3.03315017762062
7.0,9000000.0,Far,,,2.0,High,Diverse,2.0,2.0,2.0,,,10.0,electricity,yes,,0,38.0,day,0,0,0,2.0,12.027745701779144
7.0,6000000.0,Far,25.0,Medium,1.3333333333333333,Low,Diverse,1.0,2.0,1.0,1.0,,10.0,electricity,yes,-1.0,0,20.0,day,0,0,0,2.0,3.9327683210007
3.0,3000000.0,,35.294117647058826,Medium,2.0,High,Poor,2.0,2.0,2.0,,,,gas,yes,,0,2.0,month,0,0,0,2.0,0.816496580927726
9.0,30000000.0,Close,40.0,High,0.6666666666666666,Low,Diverse,0.0,1.0,1.0,1.0,,5.0,electricity,yes,1.0,0,18.0,month,0,0,0,1.0,3.9496835316263
0.0,,,,,,,Poor,,,,,,,,,,0,0.0,,0,0,0,,0.0
6.0,6000000.0,Close,100.0,High,1.0,Low,Adequate,1.0,2.0,0.0,1.0,,2.0,electricity,yes,0.0,0,24.0,month,0,0,0,2.0,3.3466401061363023
7.0,7000000.0,Close,22.950819672131143,Medium,1.6666666666666667,High,Diverse,1.0,2.0,2.0,,,1.0,gas,yes,,0,24.0,month,0,0,0,2.0,4.381780460041329
10.0,9000000.0,Close,21.176470588235293,Medium,1.6666666666666667,High,Diverse,1.0,2.0,2.0,-1.0,,3.0,electricity,yes,1.0,0,28.0,day,0,0,0,2.0,3.932768321000701
