Time,end,deviceid,location,_location_latitude,_location_longitude,_location_altitude,_location_precision,surveyorname,vendortype,GI_I_THI_U_Xin_ch_o_l_i_n_i_c_a_b_n_ch_a,verbalconsent,Kh_ng_c_ph_p_D_ng_a_ra_l_do_t_ch_i,refusalreason,refusalreason/not_home,refusalreason/responsible_not_home,refusalreason/no_response,refusalreason/undisclosed,refusalreason/uncomfortable,refusalreason/no_time,refusalreason/other,refusalreason_other,neighborhood,resp_gender,age,resp_owner,staff,resp_ethn,resp_ethn_other,foodgroups,foodgroups/cereals,foodgroups/whiterootsandtubers,foodgroups/veg_vitamina,foodgroups/veg_darkgreenleafy,foodgroups/veg_other,foodgroups/fruits_vitamina,foodgroups/fruits_other,foodgroups/meat_organ,foodgroups/meat_flesh,foodgroups/eggs,foodgroups/fish_seafood,foodgroups/legumes_nuts_seeds,foodgroups/milk,foodgroups/oils_fats,foodgroups/sweets,foodgroups/spices_cond_bev,wholeorprocessed,locationtime,previouslocation,previouslocationNUA,homelocation,reason,bridge_city,customers_neighb,customers_passersby,supplychain,safe_reputation,flooding,infrastructure,presence,absence,schools,leisure,B_n_ng_hay_kh_ng_h_ng_tuy_n_b_sau_y,customers_wealth,customers_ethn,rathersomewhereelse,ratherothersector,_5yr_changesector,_5yr_changelocation,B_y_gi_h_y_ngh_n_ng_g_n_y_nh_t_Yagi,typhoon_prepare,typhoon_prepare/stockpiling,typhoon_prepare/securing,typhoon_prepare/securing_away,typhoon_prepare/adjusting_hours,typhoon_prepare/relocating,typhoon_prepare/strengthening_infrastructure,typhoon_prepare/diversifying_products,typhoon_prepare/collaborating_withs,typhoon_prepare/saving_cash,typhoon_prepare/communicating_customers,typhoon_prepare/contingency_poweroutages,typhoon_cope,typhoon_cope/close_full,typhoon_cope/close_typhoon,typhoon_cope/inside_home,typhoon_cope/inside_here,typhoon_cope/cheaper,typhoon_cope/more_expensive,typhoon_cope/sharing,typhoon_financial,typhoon_damages,foodwaste_amount,foodwaste_amount_unit,foodwaste_freq,foodwaste_mainreason,foodwaste_mainreason/deteriorated,foodwaste_mainreason/usebydate,foodwaste_mainreason/unappetizing,foodwaste_mainreason/toomuch,foodwaste_mainreason/toomanyingredients,foodwaste_mainreason/other,foodwaste_whatdo,foodwaste_whatdo/throwaway,foodwaste_whatdo/giveaway,foodwaste_whatdo/foodbank,foodwaste_whatdo/composting_community,foodwaste_whatdo/composting_hh,foodwaste_whatdo/animalfood,foodwaste_whatdo/other,Xin_ch_n_th_nh_c_m_m_t_ng_y_th_t_vui_v,_y_l_ph_n_k_t_th_c_c_k_t_n_i_internet,picture,picture_URL,comments,_id,_uuid,_submission_time,_validation_status,_notes,_status,_submitted_by,__version__,_tags,_index,INTRODUCTION_Hello_bal_informed_consent,No_permission_Stop_terwards_if_relevant,Do_you_agree_or_disa_following_statements,Now_please_think_of_Typhoon_event_Yagi,Thank_you_very_much_a_very_pleasant_day,This_is_the_end_of_t_internet_connection
2024-10-26 08:48:02.005000,2024-10-26 09:12:33.710000,collect:JSriZPO0C6jcYg8h,20.9977659 105.9158911 -20.700000762939453 4.846,20.9977659,105.9158911,-20.70000076293945,4.846,ha,marketvendor,,yes,,,,,,,,,,,Dong Du ,female,62.0,yes,1.0,kinh,,cereals whiterootsandtubers veg_vitamina veg_darkgreenleafy eggs legumes_nuts_seeds spices_cond_bev sweets oils_fats,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,processed,17.0,NUA,dongduha,neighbourhood,School is close by. She used to sell breakfast in front but once the market opened she came here. ,-1.0,0.0,0.0,-1.0,1.0,-1.0,-1.0,-1.0,-1.0,1.0,-1.0,,2.0,0.0,-2.0,-2.0,-2.0,-2.0,,securing_away strengthening_infrastructure,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,close_full,1.0,0.0,0.0,0.0,0.0,0.0,0.0,moderate_party,no_damages,0.5,day,6.0,usebydate,0.0,1.0,0.0,0.0,0.0,0.0,animalfood,0.0,0.0,0.0,0.0,0.0,1.0,0.0,,,1729908727877.jpg,https://kc.kobotoolbox.org/media/original?media_file=lmhemerijckx%2Fattachments%2F4c431809c1f04371ae7593d9feb3577c%2F209db068-f0f0-4646-9087-eb0d6377b57d%2F1729908727877.jpg,,399666298,209db068-f0f0-4646-9087-eb0d6377b57d,2024-10-26 04:58:11,,,submitted_via_web,harie2409,vJToPEU2HeURgmxeY8p9Lf,,1,,,,,,
2024-10-26 09:14:51.526000,2024-10-26 09:22:38.904000,collect:JSriZPO0C6jcYg8h,20.9975462 105.915905 -20.5 4.709,20.9975462,105.915905,-20.5,4.709,ha,marketvendor,,yes,,,,,,,,,,,Dong Du,female,50.0,yes,1.0,kinh,,veg_darkgreenleafy,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,whole,2.0,none,,street,She thinks selling in the market is easier,-1.0,0.0,0.0,-1.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,,-1.0,0.0,-2.0,-2.0,-2.0,-2.0,,,,,,,,,,,,,,close_full inside_here,1.0,0.0,0.0,1.0,0.0,0.0,0.0,moderate_not,moderate_not,1.0,day,2.0,usebydate,0.0,1.0,0.0,0.0,0.0,0.0,giveaway animalfood,0.0,1.0,0.0,0.0,0.0,1.0,0.0,,,1729909326050.jpg,https://kc.kobotoolbox.org/media/original?media_file=lmhemerijckx%2Fattachments%2F4c431809c1f04371ae7593d9feb3577c%2Fb0deaffb-3d8c-4f7d-9d44-488b007815d8%2F1729909326050.jpg,,399666312,b0deaffb-3d8c-4f7d-9d44-488b007815d8,2024-10-26 04:58:16,,,submitted_via_web,harie2409,vJToPEU2HeURgmxeY8p9Lf,,2,,,,,,
2024-10-26 09:29:33.617000,2024-10-26 09:39:13.960000,collect:JSriZPO0C6jcYg8h,20.9975971 105.9159059 -20.5 4.792,20.9975971,105.9159059,-20.5,4.792,ha,marketvendor,,yes,,,,,,,,,,,Dong Du,female,60.0,yes,1.0,kinh,,cereals whiterootsandtubers veg_vitamina legumes_nuts_seeds milk oils_fats sweets spices_cond_bev,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,processed,10.0,none,,neighbourhood,This model suitable with her heath,-1.0,1.0,1.0,-1.0,1.0,-1.0,-1.0,-1.0,-1.0,1.0,-1.0,,0.0,0.0,-2.0,-2.0,-2.0,-2.0,,securing strengthening_infrastructure,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,close_typhoon inside_here,0.0,1.0,0.0,1.0,0.0,0.0,0.0,moderate_fully,moderate_not,5.0,week,7.0,usebydate,0.0,1.0,0.0,0.0,0.0,0.0,throwaway,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,,1729910326958.jpg,https://kc.kobotoolbox.org/media/original?media_file=lmhemerijckx%2Fattachments%2F4c431809c1f04371ae7593d9feb3577c%2F4b269533-b25e-418c-ad2f-75bff8743e43%2F1729910326958.jpg,,399666322,4b269533-b25e-418c-ad2f-75bff8743e43,2024-10-26 04:58:18,,,submitted_via_web,harie2409,vJToPEU2HeURgmxeY8p9Lf,,3,,,,,,
2024-10-26 10:31:53.538000,2024-10-26 10:45:46.839000,collect:JSriZPO0C6jcYg8h,21.001733 105.9136101 -20.700000762939453 4.825,21.001733,105.9136101,-20.70000076293945,4.825,ha,retailer,,yes,,,,,,,,,,,Dong Du,female,44.0,yes,3.0,kinh,,fruits_other fruits_vitamina spices_cond_bev sweets milk,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,processed,4.0,none,,home,Convince,-1.0,1.0,1.0,-1.0,1.0,-1.0,-1.0,-1.0,-1.0,1.0,-1.0,,1.0,0.0,-2.0,-2.0,-1.0,-1.0,,securing adjusting_hours contingency_poweroutages saving_cash,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,close_typhoon inside_here,0.0,1.0,0.0,1.0,0.0,0.0,0.0,moderate_fully,no_damages,0.5,day,2.0,other,0.0,0.0,0.0,0.0,0.0,1.0,giveaway throwaway,1.0,1.0,0.0,0.0,0.0,0.0,0.0,,,1729914343081.jpg,https://kc.kobotoolbox.org/media/original?media_file=lmhemerijckx%2Fattachments%2F4c431809c1f04371ae7593d9feb3577c%2F4117b3f2-f00e-48f1-9ed1-aa5ef7f46c6c%2F1729914343081.jpg,,399666330,4117b3f2-f00e-48f1-9ed1-aa5ef7f46c6c,2024-10-26 04:58:21,,,submitted_via_web,harie2409,vJToPEU2HeURgmxeY8p9Lf,,4,,,,,,
2024-10-26 11:10:40.835000,2024-10-26 11:22:46.803000,collect:JSriZPO0C6jcYg8h,21.0015 105.9132349 -20.600000381469727 4.449,21.0015,105.9132349,-20.60000038146973,4.449,ha,retailer,,yes,,,,,,,,,,,Dong Du ,female,75.0,yes,2.0,kinh,,cereals whiterootsandtubers veg_vitamina fruits_vitamina legumes_nuts_seeds milk oils_fats sweets spices_cond_bev,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,processed,25.0,none,,home,No special reason,-1.0,0.0,-1.0,-1.0,1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,,0.0,0.0,-2.0,-2.0,-2.0,-2.0,,securing saving_cash contingency_poweroutages,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,inside_here close_typhoon,0.0,1.0,0.0,1.0,0.0,0.0,0.0,moderate_not,moderate_not,1.0,day,2.0,usebydate,0.0,1.0,0.0,0.0,0.0,0.0,animalfood,0.0,0.0,0.0,0.0,0.0,1.0,0.0,,,1729916536225.jpg,https://kc.kobotoolbox.org/media/original?media_file=lmhemerijckx%2Fattachments%2F4c431809c1f04371ae7593d9feb3577c%2Fb4cfa35e-9d4a-4da5-a423-3cca94e62960%2F1729916536225.jpg,,399666337,b4cfa35e-9d4a-4da5-a423-3cca94e62960,2024-10-26 04:58:24,,,submitted_via_web,harie2409,vJToPEU2HeURgmxeY8p9Lf,,5,,,,,,
2024-10-26 09:07:43.024000,2024-10-26 09:13:36.531000,collect:Q5f83MorxglCrHPg,21.0098923 105.9098505 -13.318389892578125 4.073,21.0098923,105.9098505,-13.31838989257812,4.073,duy,food truck,,yes,,,,,,,,,,,Cu khoi,female,55.0,yes,1.0,kinh,,cereals meat_flesh spices_cond_bev oils_fats,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,processed,10.0,none,,home,"Convenient, bussiness  at home",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,-2.0,2.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,close_typhoon,0.0,1.0,0.0,0.0,0.0,0.0,0.0,no_losses,no_damages,0.0,day,6.0,,,,,,,,other,0.0,0.0,0.0,0.0,0.0,0.0,1.0,,,1729908745769.jpg,https://kc.kobotoolbox.org/media/original?media_file=lmhemerijckx%2Fattachments%2F4c431809c1f04371ae7593d9feb3577c%2F2a8f5240-1ca0-4551-82da-4c0d36e8e43a%2F1729908745769.jpg,,399916167,2a8f5240-1ca0-4551-82da-4c0d36e8e43a,2024-10-27 01:17:05,,,submitted_via_web,emersonburke,vJToPEU2HeURgmxeY8p9Lf,,6,,,,,,
2024-10-26 09:42:46.051000,2024-10-26 09:47:38.596000,collect:Q5f83MorxglCrHPg,21.0105221 105.9092293 11.69805908203125 4.824,21.0105221,105.9092293,11.69805908203125,4.824,duy,street vendor,,yes,,,,,,,,,,,Cu khoi,female,35.0,yes,1.0,kinh,,fruits_vitamina fruits_other,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,whole,1.0,city,,neighbourhood,Near the house,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,,-2.0,2.0,-2.0,-2.0,-2.0,-2.0,,stockpiling,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,close_full,1.0,0.0,0.0,0.0,0.0,0.0,0.0,no_losses,no_damages,0.5,month,2.0,usebydate toomuch,0.0,1.0,0.0,1.0,0.0,0.0,throwaway animalfood,1.0,0.0,0.0,0.0,0.0,1.0,0.0,,,1729910837491.jpg,https://kc.kobotoolbox.org/media/original?media_file=lmhemerijckx%2Fattachments%2F4c431809c1f04371ae7593d9feb3577c%2F41dca54e-98b1-4e43-99cf-15e7dd4ab498%2F1729910837491.jpg,Afraid to loose her bussiness ground due to policy,399916168,41dca54e-98b1-4e43-99cf-15e7dd4ab498,2024-10-27 01:17:07,,,submitted_via_web,emersonburke,vJToPEU2HeURgmxeY8p9Lf,,7,,,,,,
2024-10-26 09:48:08.420000,2024-10-26 09:56:14.294000,collect:Q5f83MorxglCrHPg,21.0105466 105.9091255 -1.72772216796875 4.502,21.0105466,105.9091255,-1.72772216796875,4.502,duy,street vendor,,yes,,,,,,,,,,,Cu khoi,female,18.0,yes,1.0,kinh,,fruits_other whiterootsandtubers,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,whole,1.0,none,,district,Move in with family,-1.0,1.0,1.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,-2.0,2.0,0.0,0.0,0.0,0.0,,stockpiling,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,no_losses,moderate_fully,0.1,day,2.0,toomuch,0.0,0.0,0.0,1.0,0.0,0.0,other,0.0,0.0,0.0,0.0,0.0,0.0,1.0,,,1729911349629.jpg,https://kc.kobotoolbox.org/media/original?media_file=lmhemerijckx%2Fattachments%2F4c431809c1f04371ae7593d9feb3577c%2Fad845cff-7986-4f18-ba01-c7fb6f83aa63%2F1729911349629.jpg,,399916169,ad845cff-7986-4f18-ba01-c7fb6f83aa63,2024-10-27 01:17:08,,,submitted_via_web,emersonburke,vJToPEU2HeURgmxeY8p9Lf,,8,,,,,,
2024-10-26 09:57:10.486000,2024-10-26 10:08:34.981000,collect:Q5f83MorxglCrHPg,21.0105606 105.9094536 0.69439697265625 4.288,21.0105606,105.9094536,0.69439697265625,4.288,duy,food truck,,yes,,,,,,,,,,,Cu khoi,female,64.0,yes,1.0,kinh,,cereals sweets,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,processed,10.0,none,,adminunit,Find a good place to sell,-1.0,-1.0,-1.0,-1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,,-2.0,2.0,0.0,0.0,1.0,-2.0,,stockpiling,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,no_losses,no_damages,0.1,day,2.0,toomuch,0.0,0.0,0.0,1.0,0.0,0.0,other,0.0,0.0,0.0,0.0,0.0,0.0,1.0,,,1729912110709.jpg,https://kc.kobotoolbox.org/media/original?media_file=lmhemerijckx%2Fattachments%2F4c431809c1f04371ae7593d9feb3577c%2F7f731dda-0d46-4961-9446-e77776389539%2F1729912110709.jpg,,399916170,7f731dda-0d46-4961-9446-e77776389539,2024-10-27 01:17:09,,,submitted_via_web,emersonburke,vJToPEU2HeURgmxeY8p9Lf,,9,,,,,,
2024-10-27 09:27:54.426000,2024-10-27 20:02:28.354000,collect:e4WhAIytKCKvTitg,21.0219686 105.880521 5.404449462890625 13.633,21.0219686,105.880521,5.404449462890625,13.633,mailinh,restaurant,,yes,,,,,,,,,,,Thach Cau,female,55.0,yes,2.0,kinh,,veg_darkgreenleafy veg_other meat_flesh eggs meat_organ cereals spices_cond_bev oils_fats,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,processed,2.0,none,,city,Khu du lich sinh thai vuon nhan,-1.0,1.0,1.0,-1.0,-1.0,1.0,1.0,-1.0,-1.0,-1.0,0.0,,-2.0,0.0,-2.0,-2.0,-2.0,-1.0,,adjusting_hours,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,close_typhoon inside_home cheaper,0.0,1.0,1.0,0.0,1.0,0.0,0.0,no_losses,no_damages,0.1,day,6.0,toomuch,0.0,0.0,0.0,1.0,0.0,0.0,animalfood,0.0,0.0,0.0,0.0,0.0,1.0,0.0,,,1730034140023.jpg,https://kc.kobotoolbox.org/media/original?media_file=lmhemerijckx%2Fattachments%2F4c431809c1f04371ae7593d9feb3577c%2F95d9cd6a-8b14-4bc5-a649-388ea1467686%2F1730034140023.jpg,,400033935,95d9cd6a-8b14-4bc5-a649-388ea1467686,2024-10-27 13:03:31,,,submitted_via_web,analynregina,vJToPEU2HeURgmxeY8p9Lf,,10,,,,,,
