Variable,Category,N,Percent
Respondent Gender,female,105,63.25301204819277
Respondent Gender,male,61,36.74698795180723
Respondent Education,5.0,124,75.15151515151514
Respondent Education,4.0,27,16.363636363636363
Respondent Education,3.0,11,6.666666666666667
Respondent Education,0.0,2,1.2121212121212122
Respondent Education,1.0,1,0.6060606060606061
Respondent Ethnicity,kinh,164,99.39393939393939
Respondent Ethnicity,muong,1,0.6060606060606061
Neighborhood,Thach Ban,19,11.44578313253012
Neighborhood,Long Bien,12,7.228915662650602
Neighborhood,Cu khoi,9,5.421686746987952
Neighborhood,Cu Khoi,9,5.421686746987952
Neighborhood,Phuc Loi,8,4.819277108433735
Neighborhood,Sai Dong,8,4.819277108433735
Neighborhood,Tu Dinh,8,4.819277108433735
Neighborhood,Phuc Dong,8,4.819277108433735
Neighborhood,Viet Hung,6,3.614457831325301
Neighborhood,Giang Bien,5,3.0120481927710845
Neighborhood,Sai dong,5,3.0120481927710845
Neighborhood,Thach ban,5,3.0120481927710845
Neighborhood,Giang bien,3,1.8072289156626504
Neighborhood,Co bi,3,1.8072289156626504
Neighborhood,Thach cau,3,1.8072289156626504
Neighborhood,Thach Cau,3,1.8072289156626504
Neighborhood,Co Bi,3,1.8072289156626504
Neighborhood,Dong Du,2,1.2048192771084338
Neighborhood,Thatch ban,2,1.2048192771084338
Neighborhood,Xuan Do ,2,1.2048192771084338
Neighborhood,Khu 918,2,1.2048192771084338
Neighborhood,Thach Ban ,2,1.2048192771084338
Neighborhood,Xuan Do,2,1.2048192771084338
Neighborhood,Dong du,2,1.2048192771084338
Neighborhood,918,2,1.2048192771084338
Neighborhood,Giang bien ,1,0.6024096385542169
Neighborhood,Khu tap the 918,1,0.6024096385542169
Neighborhood,Cu khoi ,1,0.6024096385542169
Neighborhood,Xóm Bãi (xom Bong Lai) ,1,0.6024096385542169
Neighborhood,Xom Bai (xom Bong Lai) ,1,0.6024096385542169
Neighborhood,Sai dong ,1,0.6024096385542169
Neighborhood,Binh Hun,1,0.6024096385542169
Neighborhood,Tram long bien,1,0.6024096385542169
Neighborhood,Duc Giang,1,0.6024096385542169
Neighborhood,Xom Bai,1,0.6024096385542169
Neighborhood,Kim Quan,1,0.6024096385542169
Neighborhood,Vin home ocean park,1,0.6024096385542169
Neighborhood,X22,1,0.6024096385542169
Neighborhood,Bo De,1,0.6024096385542169
Neighborhood,Thach Cau ,1,0.6024096385542169
Neighborhood,Doc Lap,1,0.6024096385542169
Neighborhood,Xuan Do Ha,1,0.6024096385542169
Neighborhood,Phuc Dong ,1,0.6024096385542169
Neighborhood,Nguyen thoi trung,1,0.6024096385542169
Neighborhood,Viet Hung ,1,0.6024096385542169
Neighborhood,Tu dinh,1,0.6024096385542169
Neighborhood,"To 9 Dinh, Phuc Loi",1,0.6024096385542169
Neighborhood,Vinhomes riverside ,1,0.6024096385542169
Neighborhood,Phuc loi,1,0.6024096385542169
Neighborhood,"Co Bi, Gia Lam",1,0.6024096385542169
Neighborhood,Bat Khoi,1,0.6024096385542169
Neighborhood,To 2 Phuong Long Bien,1,0.6024096385542169
Neighborhood,Tram ,1,0.6024096385542169
Neighborhood,Tram,1,0.6024096385542169
Neighborhood,Tổ 9 Phường Phúc Lợi,1,0.6024096385542169
Neighborhood,Duc Giang Long Bien,1,0.6024096385542169
Neighborhood,Testing,1,0.6024096385542169
Neighborhood,May 10,1,0.6024096385542169
