Food Group,N Households,Percent
spices_cond_bev,24.0,11.214953271028037
sweets,21.0,9.813084112149532
cereals,20.0,9.345794392523365
oils_fats,14.0,6.5420560747663545
fruits_other,13.0,6.074766355140187
fruits_vitamina,11.0,5.14018691588785
meat_flesh,11.0,5.14018691588785
legumes_nuts_seeds,11.0,5.14018691588785
milk,11.0,5.14018691588785
veg_darkgreenleafy,10.0,4.672897196261682
veg_other,10.0,4.672897196261682
eggs,10.0,4.672897196261682
veg_vitamina,8.0,3.7383177570093453
meat_organ,7.0,3.2710280373831773
whiterootsandtubers,5.0,2.336448598130841
fish_seafood,4.0,1.8691588785046727
