Food Group,N Households,Percent
Spices Cond Bev,24.0,11.214953271028037
Sweets,21.0,9.813084112149532
Cereals,20.0,9.345794392523365
Oils Fats,14.0,6.5420560747663545
Fruits Other,13.0,6.074766355140187
Fruits Vitamina,11.0,5.14018691588785
Meat Flesh,11.0,5.14018691588785
Legumes Nuts Seeds,11.0,5.14018691588785
Milk,11.0,5.14018691588785
Veg Darkgreenleafy,10.0,4.672897196261682
Veg Other,10.0,4.672897196261682
Eggs,10.0,4.672897196261682
Veg Vitamina,8.0,3.7383177570093453
Meat Organ,7.0,3.2710280373831773
Whiterootsandtubers,5.0,2.336448598130841
Fish Seafood,4.0,1.8691588785046727
