Neighborhood,N Vendors,Percent
Sai Dong,22,9.865470852017937
Thach Ban,17,7.623318385650224
Kim Quan,15,6.726457399103139
Phuc Loi,14,6.278026905829597
Co Bi,13,5.829596412556054
Long Bien,11,4.932735426008969
Thach ban,10,4.484304932735426
Tu Dinh,9,4.0358744394618835
Phuc loi,8,3.587443946188341
Giang Bien,8,3.587443946188341
Cu khoi,7,3.1390134529147984
Viet Hung,6,2.690582959641256
Thach Cau,6,2.690582959641256
Lang Tram,5,2.242152466367713
Duc Giang,4,1.7937219730941705
Cu Khoi,4,1.7937219730941705
Pho Tram,4,1.7937219730941705
Khu 918,4,1.7937219730941705
Dong du,4,1.7937219730941705
Long Bien ,3,1.345291479820628
