Variable,Label,Category,N,Percent
OP011_accessibility_tier,Accessibility Tier,nan,89,41.58878504672897
OP011_accessibility_tier,Accessibility Tier,Close,88,41.1214953271028
OP011_accessibility_tier,Accessibility Tier,Far,37,17.289719626168225
OP016_budget_share_tier,Affordability Tier,nan,90,42.05607476635514
OP016_budget_share_tier,Affordability Tier,Medium,42,19.626168224299064
OP016_budget_share_tier,Affordability Tier,Low,41,19.158878504672895
OP016_budget_share_tier,Affordability Tier,High,41,19.158878504672895
OP017_cooking_source,Cooking Source,electricity,117,54.67289719626168
OP017_cooking_source,Cooking Source,nan,54,25.233644859813083
OP017_cooking_source,Cooking Source,gas,42,19.626168224299064
OP017_cooking_source,Cooking Source,charcoal,1,0.46728971962616817
OP018_water_source,Water Source,yes,160,74.76635514018692
OP018_water_source,Water Source,nan,53,24.766355140186917
OP018_water_source,Water Source,no,1,0.46728971962616817
OP025_neighborhood_safety_tier,Neighborhood Safety Tier,High,106,49.532710280373834
OP025_neighborhood_safety_tier,Neighborhood Safety Tier,Low,56,26.168224299065418
OP025_neighborhood_safety_tier,Neighborhood Safety Tier,nan,52,24.299065420560748
OP033_diet_quality_tier,Diet Quality Tier,Diverse,86,40.18691588785047
OP033_diet_quality_tier,Diet Quality Tier,Poor,71,33.177570093457945
OP033_diet_quality_tier,Diet Quality Tier,Adequate,57,26.635514018691588
