Predictor,N,Pearson_r,Pearson_p,Spearman_rho,Spearman_p,Sig_Pearson,Sig_Spearman
OP004_cleanliness,162,-0.09273274707699718,0.24052068102136973,-0.1895584306083391,0.015694297598557724,ns,*
OP005_neighborhood_safety,161,-0.06554785412368286,0.4087375039852739,-0.16766519707263333,0.03350914942869536,ns,*
OP006_reputation,160,-0.06916087768565492,0.38484413354879915,-0.18192400072739057,0.02131367686758238,ns,*
OP007_infrastructure,99,0.1255878275107669,0.2154848430653927,0.1167144231435851,0.24994536160595665,ns,ns
OP009_travel_time,125,-0.0494755036278316,0.5837389124105039,-0.10104115484133082,0.2622038056150306,ns,ns
OP012_monthly_food_expenditure,142,0.013713151648231064,0.8713260638335234,0.05284345409117956,0.5322511476386165,ns,ns
OP016_budget_share_pct,124,-0.02409152175361931,0.790552365813,-0.05944855306859349,0.5119096738870793,ns,ns
OP019_water_distance,99,-0.06275668959302683,0.5371690204907146,-0.06764119193059182,0.5058993431112826,ns,ns
OP023_food_env_perception,158,-0.03042577467913374,0.7043186894369785,-0.12286211074175613,0.1240675152785936,ns,ns
OP010_shopping_frequency,214,0.5289533252220242,7.949352986741921e-17,0.6350801445198395,1.447278090749077e-25,***,***
OP028_frequency_variation,214,0.5423307660769009,9.216223722371798e-18,0.618522088958267,5.572104796585942e-24,***,***
