Variable,B,SE,t,p,Beta,Note
Model Summary,,,,,,"N=76, R²=0.056, Adj R²=-0.057, F(8,67)=0.50, p=0.855"
Intercept,2.761,nan,nan,nan,,
OP012_monthly_food_expenditure,0.000,0.000,0.290,0.773,0.041,ns
OP016_budget_share_pct,-0.005,0.004,-1.412,0.163,-0.193,ns
OP017_cooking_source,1.242,0.549,2.262,0.027,0.206,*
OP018_water_source,2.761,nan,nan,nan,0.000,ns
OP019_water_distance,-0.047,0.369,-0.129,0.898,-0.016,ns
OP023_food_env_perception,0.046,0.360,0.127,0.899,0.011,ns
OP010_shopping_frequency,-0.004,0.007,-0.591,0.557,-0.034,ns
OP028_frequency_variation,0.009,0.000,inf,0.000,0.019,***
