Variable,B,SE,t,p,Beta,Note
Model Summary,,,,,,"N=64, R²=0.193, Adj R²=-0.016, F(13,50)=0.92, p=0.537"
Intercept,4.315,533469779037247.375,0.000,1.000,,
OP006_reputation,-0.326,0.462,-0.706,0.484,-0.107,ns
OP007_infrastructure,-0.012,0.369,-0.032,0.974,-0.005,ns
OP023_food_env_perception,-0.112,0.691,-0.161,0.872,-0.024,ns
OP012_monthly_food_expenditure,-0.000,0.000,-0.024,0.981,-0.005,ns
OP028_frequency_variation,-0.045,0.126,-0.357,0.723,-0.098,ns
OP004_cleanliness,-0.487,0.364,-1.339,0.187,-0.210,ns
OP018_water_source,4.315,533469779037248.438,0.000,1.000,0.000,ns
OP019_water_distance,-0.183,0.403,-0.455,0.651,-0.065,ns
OP005_neighborhood_safety,-0.386,0.533,-0.725,0.472,-0.111,ns
OP016_budget_share_pct,-0.004,0.005,-0.855,0.397,-0.178,ns
OP009_travel_time,-0.165,0.102,-1.621,0.111,-0.247,ns
OP010_shopping_frequency,0.007,0.031,0.232,0.818,0.063,ns
OP017_cooking_source,1.109,nan,nan,nan,0.195,ns
