Predictor,Model,Beta,p_value,Significant,Abs_Beta
OP009_travel_time,External Domain,-0.14935087330550614,0.2130303616752951,No,0.14935087330550614
OP005_neighborhood_safety,External Domain,-0.14896897106418597,0.21850411083606502,No,0.14896897106418597
OP004_cleanliness,External Domain,-0.10892251717045759,0.4041878431628816,No,0.10892251717045759
OP006_reputation,External Domain,-0.10204773362382893,0.42817708940913013,No,0.10204773362382893
OP007_infrastructure,External Domain,0.03978900367091272,0.737800072993205,No,0.03978900367091272
OP009_travel_time,Full Framework,-0.2473741476641894,0.1112026203906995,No,0.2473741476641894
OP004_cleanliness,Full Framework,-0.20998392911910183,0.1865258771117635,No,0.20998392911910183
OP017_cooking_source,Full Framework,0.19461615622580422,,No,0.19461615622580422
OP016_budget_share_pct,Full Framework,-0.17823056776904656,0.3966063016276653,No,0.17823056776904656
OP005_neighborhood_safety,Full Framework,-0.11072595754600927,0.4720380723513591,No,0.11072595754600927
OP006_reputation,Full Framework,-0.10653236295150183,0.4835724808628896,No,0.10653236295150183
OP028_frequency_variation,Full Framework,-0.09787986075383186,0.7227360083866907,No,0.09787986075383186
OP019_water_distance,Full Framework,-0.06471214946962983,0.65095755611594,No,0.06471214946962983
OP010_shopping_frequency,Full Framework,0.06295433497140172,0.8177340965632467,No,0.06295433497140172
OP023_food_env_perception,Full Framework,-0.024136238624131133,0.8723784216057384,No,0.024136238624131133
OP012_monthly_food_expenditure,Full Framework,-0.004707143595478611,0.9810892512956861,No,0.004707143595478611
OP007_infrastructure,Full Framework,-0.004595397008349603,0.9742357510743125,No,0.004595397008349603
OP018_water_source,Full Framework,0.0,0.9999999999999936,No,0.0
OP017_cooking_source,Personal Domain,0.2055909631985001,0.026939034200456513,Yes,0.2055909631985001
OP016_budget_share_pct,Personal Domain,-0.19288225056492977,0.16260806910406278,No,0.19288225056492977
OP012_monthly_food_expenditure,Personal Domain,0.040995710799368645,0.7730669365865355,No,0.040995710799368645
OP010_shopping_frequency,Personal Domain,-0.033915725798997175,0.5567019407135243,No,0.033915725798997175
OP028_frequency_variation,Personal Domain,0.019147845402747925,0.0,Yes,0.019147845402747925
OP019_water_distance,Personal Domain,-0.01559365960058934,0.8980090246320631,No,0.01559365960058934
OP023_food_env_perception,Personal Domain,0.011001783182086493,0.8992253164476391,No,0.011001783182086493
OP018_water_source,Personal Domain,0.0,,No,0.0
