variable,n_total,n_valid,n_missing,pct_missing,mean,std,min,q25,median,q75,max,unique_values,most_common,most_common_count
OP029_HDDS,214,214,0,0.0,5.074766355140187,3.7758832802528146,0.0,0.0,6.0,8.0,15.0,,,
OP012_monthly_food_expenditure,214,142,72,33.64485981308411,8700084.570422536,15874416.531944636,9.0,3600000.0,6000000.0,9000000.0,150000000.0,,,
OP011_accessibility_tier,214,125,89,41.58878504672897,,,,,,,,2.0,Close,88.0
OP016_budget_share_pct,214,124,90,42.05607476635514,50.66273844793726,98.01881462139288,5.294117647058824e-05,18.663101604278076,29.459980713596913,46.15384615384615,750.0,,,
OP016_budget_share_tier,214,124,90,42.05607476635514,,,,,,,,3.0,Medium,42.0
OP025_neighborhood_safety_index,214,162,52,24.299065420560748,1.5648148148148149,0.6037180636232989,-2.0,1.3333333333333333,1.6666666666666667,2.0,2.0,,,
OP025_neighborhood_safety_tier,214,162,52,24.299065420560748,,,,,,,,2.0,High,106.0
OP033_diet_quality_tier,214,214,0,0.0,,,,,,,,3.0,Diverse,86.0
OP004_cleanliness,214,162,52,24.299065420560748,1.4444444444444444,0.9325048082403139,-2.0,1.0,2.0,2.0,2.0,,,
OP005_neighborhood_safety,214,161,53,24.766355140186917,1.6583850931677018,0.7834665760429078,-2.0,2.0,2.0,2.0,2.0,,,
OP006_reputation,214,160,54,25.233644859813083,1.5875,0.7301890855312279,-2.0,1.0,2.0,2.0,2.0,,,
OP007_infrastructure,214,99,115,53.73831775700935,0.13131313131313133,0.899506266458015,-1.0,-1.0,0.0,1.0,1.0,,,
OP008_marketing_regulation,214,0,214,100.0,,,,,,,,,,
OP009_travel_time,214,125,89,41.58878504672897,5.92,4.415149871419629,0.0,3.0,5.0,7.0,30.0,,,
OP017_cooking_source,214,160,54,25.233644859813083,,,,,,,,3.0,electricity,117.0
OP018_water_source,214,161,53,24.766355140186917,,,,,,,,2.0,yes,160.0
OP019_water_distance,214,99,115,53.73831775700935,-0.5858585858585859,0.7285728432773522,-1.0,-1.0,-1.0,0.0,1.0,,,
